Index,Original Method File,Original Method,Original Method Time,Original Method Result,Original Result File,Original Error Message,Original Error Message File,New Method File,New Method,New Method Time,New Method Result,New Method Result File,New Method Error Message,New Method Error Message File,Prompt File,Prompt Length,Prompt Index,Prompt name,Error message,Feedback,Try,Number placeholders,Placeholder position,Diff,Url
0,.//results/LemmaInvFoldLeft_fix_58.dfy,LemmaInvFoldLeft,0.660112,Errors,./results_llm/LemmaInvFoldLeft_0.txt,a precondition for this call could not be proved,./results_llm/LemmaInvFoldLeft__0_error.txt,./results_llm/LemmaInvFoldLeft_fix_TFIDFPlaceholder_0_1.dfy,LemmaInvFoldLeft,0.64925,Errors,./results_llm/LemmaInvFoldLeft_fix_0.txt,assertion might not hold,./results_llm/LemmaInvFoldLeft_fix_0_error.txt,/usr/local/home/eric/dafny_repos/libraries/src/Collections/Sequences/LemmaInvFoldLeft_fix_58.dfy_0_1_TFIDFPlaceholder_prompt,1637,1,TFIDFPlaceholder,,False,1,1,1,"assert inv(f(b, xs[0]), xs[1..]);
",http://c10-10.sysnet.ucsd.edu:8866/?results=.%2Fresults_llm%2Ftmp_libraries%2Foutput_TFIDFPlaceholder-r3_libraries_15.csv&assertions=.%2Fresults%2Ftmp_libraries%2Ftesting_libraries_k58_15.csv&method=0
0,.//results/LemmaInvFoldLeft_fix_58.dfy,LemmaInvFoldLeft,0.660112,Errors,./results_llm/LemmaInvFoldLeft_0.txt,a precondition for this call could not be proved,./results_llm/LemmaInvFoldLeft__0_error.txt,./results_llm/LemmaInvFoldLeft_fix_TFIDFPlaceholder_0_2.dfy,LemmaInvFoldLeft,0.650971,Errors,./results_llm/LemmaInvFoldLeft_fix_0.txt,assertion might not hold,./results_llm/LemmaInvFoldLeft_fix_0_error.txt,/usr/local/home/eric/dafny_repos/libraries/src/Collections/Sequences/LemmaInvFoldLeft_fix_58.dfy_0_1_TFIDFPlaceholder_prompt,1637,1,TFIDFPlaceholder,,False,2,1,1,"assert inv(f(b, xs[0]), xs[1..]);
",http://c10-10.sysnet.ucsd.edu:8866/?results=.%2Fresults_llm%2Ftmp_libraries%2Foutput_TFIDFPlaceholder-r3_libraries_15.csv&assertions=.%2Fresults%2Ftmp_libraries%2Ftesting_libraries_k58_15.csv&method=0
0,.//results/LemmaInvFoldLeft_fix_58.dfy,LemmaInvFoldLeft,0.660112,Errors,./results_llm/LemmaInvFoldLeft_0.txt,a precondition for this call could not be proved,./results_llm/LemmaInvFoldLeft__0_error.txt,./results_llm/LemmaInvFoldLeft_fix_TFIDFPlaceholder_0_3.dfy,LemmaInvFoldLeft,0.652058,Errors,./results_llm/LemmaInvFoldLeft_fix_0.txt,assertion might not hold,./results_llm/LemmaInvFoldLeft_fix_0_error.txt,/usr/local/home/eric/dafny_repos/libraries/src/Collections/Sequences/LemmaInvFoldLeft_fix_58.dfy_0_1_TFIDFPlaceholder_prompt,1637,1,TFIDFPlaceholder,,False,3,1,1,"assert inv(f(b, xs[0]), xs[1..]);
",http://c10-10.sysnet.ucsd.edu:8866/?results=.%2Fresults_llm%2Ftmp_libraries%2Foutput_TFIDFPlaceholder-r3_libraries_15.csv&assertions=.%2Fresults%2Ftmp_libraries%2Ftesting_libraries_k58_15.csv&method=0
0,.//results/LemmaInvFoldLeft_fix_58.dfy,LemmaInvFoldLeft,0.660112,Errors,./results_llm/LemmaInvFoldLeft_0.txt,a precondition for this call could not be proved,./results_llm/LemmaInvFoldLeft__0_error.txt,./results_llm/LemmaInvFoldLeft_fix_TFIDFPlaceholder_0_4.dfy,LemmaInvFoldLeft,0.651142,Errors,./results_llm/LemmaInvFoldLeft_fix_0.txt,a precondition for this call could not be proved,./results_llm/LemmaInvFoldLeft_fix_0_error.txt,/usr/local/home/eric/dafny_repos/libraries/src/Collections/Sequences/LemmaInvFoldLeft_fix_58.dfy_0_1_TFIDFPlaceholder_prompt,1639,1,TFIDFPlaceholder,,False,4,1,1,"assert stp(b, xs[0], f(b, xs[0]));
",http://c10-10.sysnet.ucsd.edu:8866/?results=.%2Fresults_llm%2Ftmp_libraries%2Foutput_TFIDFPlaceholder-r3_libraries_15.csv&assertions=.%2Fresults%2Ftmp_libraries%2Ftesting_libraries_k58_15.csv&method=0
0,.//results/LemmaInvFoldLeft_fix_58.dfy,LemmaInvFoldLeft,0.660112,Errors,./results_llm/LemmaInvFoldLeft_0.txt,a precondition for this call could not be proved,./results_llm/LemmaInvFoldLeft__0_error.txt,./results_llm/LemmaInvFoldLeft_fix_TFIDFPlaceholder_0_5.dfy,LemmaInvFoldLeft,0.648671,Errors,./results_llm/LemmaInvFoldLeft_fix_0.txt,assertion might not hold,./results_llm/LemmaInvFoldLeft_fix_0_error.txt,/usr/local/home/eric/dafny_repos/libraries/src/Collections/Sequences/LemmaInvFoldLeft_fix_58.dfy_0_1_TFIDFPlaceholder_prompt,1637,1,TFIDFPlaceholder,,False,5,1,1,"assert inv(f(b, xs[0]), xs[1..]);
",http://c10-10.sysnet.ucsd.edu:8866/?results=.%2Fresults_llm%2Ftmp_libraries%2Foutput_TFIDFPlaceholder-r3_libraries_15.csv&assertions=.%2Fresults%2Ftmp_libraries%2Ftesting_libraries_k58_15.csv&method=0
0,.//results/LemmaInvFoldLeft_fix_58.dfy,LemmaInvFoldLeft,0.660112,Errors,./results_llm/LemmaInvFoldLeft_0.txt,a precondition for this call could not be proved,./results_llm/LemmaInvFoldLeft__0_error.txt,./results_llm/LemmaInvFoldLeft_fix_TFIDFPlaceholder_0_6.dfy,LemmaInvFoldLeft,0.654515,Errors,./results_llm/LemmaInvFoldLeft_fix_0.txt,a precondition for this call could not be proved,./results_llm/LemmaInvFoldLeft_fix_0_error.txt,/usr/local/home/eric/dafny_repos/libraries/src/Collections/Sequences/LemmaInvFoldLeft_fix_58.dfy_0_1_TFIDFPlaceholder_prompt,1629,1,TFIDFPlaceholder,,False,6,1,1,"assert inv(b, xs);
",http://c10-10.sysnet.ucsd.edu:8866/?results=.%2Fresults_llm%2Ftmp_libraries%2Foutput_TFIDFPlaceholder-r3_libraries_15.csv&assertions=.%2Fresults%2Ftmp_libraries%2Ftesting_libraries_k58_15.csv&method=0
0,.//results/LemmaInvFoldLeft_fix_58.dfy,LemmaInvFoldLeft,0.660112,Errors,./results_llm/LemmaInvFoldLeft_0.txt,a precondition for this call could not be proved,./results_llm/LemmaInvFoldLeft__0_error.txt,./results_llm/LemmaInvFoldLeft_fix_TFIDFPlaceholder_0_7.dfy,LemmaInvFoldLeft,0.65126,Errors,./results_llm/LemmaInvFoldLeft_fix_0.txt,assertion might not hold,./results_llm/LemmaInvFoldLeft_fix_0_error.txt,/usr/local/home/eric/dafny_repos/libraries/src/Collections/Sequences/LemmaInvFoldLeft_fix_58.dfy_0_1_TFIDFPlaceholder_prompt,1637,1,TFIDFPlaceholder,,False,7,1,1,"assert inv(f(b, xs[0]), xs[1..]);
",http://c10-10.sysnet.ucsd.edu:8866/?results=.%2Fresults_llm%2Ftmp_libraries%2Foutput_TFIDFPlaceholder-r3_libraries_15.csv&assertions=.%2Fresults%2Ftmp_libraries%2Ftesting_libraries_k58_15.csv&method=0
0,.//results/LemmaInvFoldLeft_fix_58.dfy,LemmaInvFoldLeft,0.660112,Errors,./results_llm/LemmaInvFoldLeft_0.txt,a precondition for this call could not be proved,./results_llm/LemmaInvFoldLeft__0_error.txt,./results_llm/LemmaInvFoldLeft_fix_TFIDFPlaceholder_0_8.dfy,LemmaInvFoldLeft,0.655895,Errors,./results_llm/LemmaInvFoldLeft_fix_0.txt,assertion might not hold,./results_llm/LemmaInvFoldLeft_fix_0_error.txt,/usr/local/home/eric/dafny_repos/libraries/src/Collections/Sequences/LemmaInvFoldLeft_fix_58.dfy_0_1_TFIDFPlaceholder_prompt,1637,1,TFIDFPlaceholder,,False,8,1,1,"assert inv(f(b, xs[0]), xs[1..]);
",http://c10-10.sysnet.ucsd.edu:8866/?results=.%2Fresults_llm%2Ftmp_libraries%2Foutput_TFIDFPlaceholder-r3_libraries_15.csv&assertions=.%2Fresults%2Ftmp_libraries%2Ftesting_libraries_k58_15.csv&method=0
0,.//results/LemmaInvFoldLeft_fix_58.dfy,LemmaInvFoldLeft,0.660112,Errors,./results_llm/LemmaInvFoldLeft_0.txt,a precondition for this call could not be proved,./results_llm/LemmaInvFoldLeft__0_error.txt,./results_llm/LemmaInvFoldLeft_fix_TFIDFPlaceholder_0_9.dfy,LemmaInvFoldLeft,0.654433,Errors,./results_llm/LemmaInvFoldLeft_fix_0.txt,a precondition for this call could not be proved,./results_llm/LemmaInvFoldLeft_fix_0_error.txt,/usr/local/home/eric/dafny_repos/libraries/src/Collections/Sequences/LemmaInvFoldLeft_fix_58.dfy_0_1_TFIDFPlaceholder_prompt,1639,1,TFIDFPlaceholder,,False,9,1,1,"assert stp(b, xs[0], f(b, xs[0]));
",http://c10-10.sysnet.ucsd.edu:8866/?results=.%2Fresults_llm%2Ftmp_libraries%2Foutput_TFIDFPlaceholder-r3_libraries_15.csv&assertions=.%2Fresults%2Ftmp_libraries%2Ftesting_libraries_k58_15.csv&method=0
0,.//results/LemmaInvFoldLeft_fix_58.dfy,LemmaInvFoldLeft,0.660112,Errors,./results_llm/LemmaInvFoldLeft_0.txt,a precondition for this call could not be proved,./results_llm/LemmaInvFoldLeft__0_error.txt,./results_llm/LemmaInvFoldLeft_fix_TFIDFPlaceholder_0_10.dfy,LemmaInvFoldLeft,0.6591,Errors,./results_llm/LemmaInvFoldLeft_fix_0.txt,a precondition for this call could not be proved,./results_llm/LemmaInvFoldLeft_fix_0_error.txt,/usr/local/home/eric/dafny_repos/libraries/src/Collections/Sequences/LemmaInvFoldLeft_fix_58.dfy_0_1_TFIDFPlaceholder_prompt,1639,1,TFIDFPlaceholder,,False,10,1,1,"assert stp(b, xs[0], f(b, xs[0]));
",http://c10-10.sysnet.ucsd.edu:8866/?results=.%2Fresults_llm%2Ftmp_libraries%2Foutput_TFIDFPlaceholder-r3_libraries_15.csv&assertions=.%2Fresults%2Ftmp_libraries%2Ftesting_libraries_k58_15.csv&method=0
